,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
397,7,"[497, 206, 281, 292, 312, 358, 295]",1,0.2857142857142857,0.14814814814814817,0
644,5,"[347, 816, 93, 465, 192]",3,0.4,0.14285714285714288,0
727,2,"[373, 548]",0,1.0,1.0,0
440,2,"[640, 584]",2,0.0,0.0,0
777,2,"[683, 321]",0,1.0,1.0,0
322,1,[580],0,1.0,1.0,0
51,1,[215],2,0.0,0.0,0
595,2,"[628, 394]",1,0.0,0.0,0
686,1,[137],0,0.0,0.0,0
303,4,"[569, 519, 149, 419]",3,0.75,0.42857142857142855,0
700,4,"[319, 817, 489, 524]",2,0.25,0.13333333333333333,0
647,1,[158],2,1.0,1.0,0
330,5,"[811, 616, 636, 384, 416]",3,0.0,0.0,0
604,1,[409],2,1.0,1.0,0
137,2,"[7, 746]",3,1.0,1.0,0
188,1,[475],1,0.0,0.0,0
166,1,[753],2,1.0,1.0,0
192,1,[327],1,1.0,1.0,0
18,2,"[164, 549]",2,0.5,0.3333333333333333,0
416,4,"[791, 124, 253, 470]",0,0.25,0.2,0
315,1,[828],3,1.0,1.0,0
682,1,[441],3,1.0,1.0,0
164,2,"[810, 648]",1,0.5,0.3333333333333333,0
366,1,[363],3,1.0,1.0,0
261,1,[561],0,0.0,0.0,0
377,1,[591],2,0.0,0.0,0
418,1,[63],0,1.0,1.0,0
829,1,[336],3,1.0,1.0,0
626,1,[177],0,1.0,1.0,0
737,1,[586],0,0.0,0.0,0
230,1,[655],3,1.0,1.0,0
105,1,[335],2,1.0,1.0,3
211,1,[110],3,1.0,1.0,3
123,1,[249],2,1.0,1.0,3
560,1,[38],1,0.0,0.0,3
751,1,[230],1,0.0,0.0,2
380,1,[834],1,0.0,0.0,2
465,1,[366],0,0.0,0.0,1
461,1,[726],1,0.0,0.0,1
579,1,[138],1,0.0,0.0,1
113,1,[751],1,0.0,0.0,1
32,2,"[673, 422]",1,0.5,0.3333333333333333,1
548,1,[279],0,1.0,1.0,1
